Constellation,Epoch,Satellite_ID,X,Y,Z,vX,vY,vZ
CENTISPACE,2025-03-31 12:00:00,90001,7676.830655470067,-6.230906264461322,-3.8158702800917683,0.0031982669088728316,6.14576891752131,3.7682406147363032
CENTISPACE,2025-03-31 12:00:30,90001,7664.83696898276,362.3305695187,222.1653441527315,-0.4028758457386978,6.136343432696006,3.762448228627269
CENTISPACE,2025-03-31 12:01:00,90001,7628.509740140537,729.7417641816414,447.4396631611531,-0.8077026726497273,6.107435476298688,3.7446835283232383
CENTISPACE,2025-03-31 12:01:30,90001,7567.9624484648075,1094.8363306827996,671.2903523857874,-1.2099936914455893,6.059134132082568,3.715001384240167
CENTISPACE,2025-03-31 12:02:00,90001,7483.385818082992,1456.4543991237615,893.0046687074038,-1.6084673820932804,5.991590659088795,3.673494958340736
CENTISPACE,2025-03-31 12:02:30,90001,7375.046980030306,1813.4477580671262,1111.8770470339464,-2.001855017945667,5.905017823772697,3.620295292516847
CENTISPACE,2025-03-31 12:03:00,90001,7243.288775485138,2164.682549368202,1327.2107624425444,-2.3889037143673493,5.799689333552388,3.555570958800352
CENTISPACE,2025-03-31 12:03:30,90001,7088.528634019327,2509.0431432466994,1538.3203158297845,-2.768380773243878,5.675938921128869,3.479527494463783
CENTISPACE,2025-03-31 12:04:00,90001,6911.257241984322,2845.4357081414214,1744.5336322429446,-3.139077684793684,5.534159252041437,3.392406727991416
CENTISPACE,2025-03-31 12:04:30,90001,6712.03697329524,3172.791709051206,1945.1942151386088,-3.4998140426168094,5.374800634537271,3.2944859830634403
CENTISPACE,2025-03-31 12:05:00,90001,6491.500088243944,3490.0713226685,2139.663249350214,-3.84944135779047,5.1983695376240275,3.1860771641621364
CENTISPACE,2025-03-31 12:05:30,90001,6250.346706802722,3796.2667579913177,2327.3216457759313,-4.186846758541451,5.0054269239874065,3.0675257279125687
CENTISPACE,2025-03-31 12:06:00,90001,5989.342563668159,4090.405471520853,2507.572021054816,-4.5109565628156885,4.796586405187132,2.9392095447247812
