Reference,Constellation,Epoch,Satellite_ID,E,N,U
WROC,GNSS,2025-03-31 12:22:30,C06,32811490.72935416,-10595151.395203693,-30659266.627552077
WROC,GNSS,2025-03-31 12:23:00,C06,32850170.869458728,-10562212.752642605,-30622175.353459474
WROC,GNSS,2025-03-31 12:23:30,C06,32888851.0095633,-10529274.11008152,-30585084.07936687
WROC,GNSS,2025-03-31 12:24:00,C06,32927531.149667867,-10496335.46752043,-30547992.805274267
WROC,GNSS,2025-03-31 12:24:30,C06,32966211.28977244,-10463396.824959343,-30510901.53118166
WROC,GNSS,2025-03-31 12:25:00,C06,33004891.429877006,-10430458.182398258,-30473810.25708906
WROC,GNSS,2025-03-31 12:25:30,C06,33043640.12843293,-10398078.068188433,-30434713.880647376
WROC,GNSS,2025-03-31 12:26:00,C06,33082388.826988846,-10365697.95397861,-30395617.504205696
WROC,GNSS,2025-03-31 12:26:30,C06,33121137.525544766,-10333317.839768788,-30356521.127764016
WROC,GNSS,2025-03-31 12:27:00,C06,33159886.224100683,-10300937.725558965,-30317424.75132234
WROC,GNSS,2025-03-31 12:27:30,C06,33198634.922656603,-10268557.611349141,-30278328.374880657
WROC,GNSS,2025-03-31 12:28:00,C06,33237383.62121252,-10236177.497139316,-30239231.998438977
WROC,GNSS,2025-03-31 12:28:30,C06,33276132.31976844,-10203797.382929493,-30200135.621997297
WROC,GNSS,2025-03-31 12:29:00,C06,33314881.01832436,-10171417.268719671,-30161039.245555617
WROC,GNSS,2025-03-31 12:29:30,C06,33353629.716880273,-10139037.154509846,-30121942.869113937
WROC,GNSS,2025-03-31 12:30:00,C06,33392378.415436193,-10106657.040300021,-30082846.492672257
WROC,GNSS,2025-03-31 12:30:30,C06,33431122.05696637,-10074851.90850372,-30041763.36862504
WROC,GNSS,2025-03-31 12:31:00,C06,33469865.698496543,-10043046.776707424,-30000680.24457783
WROC,GNSS,2025-03-31 12:31:30,C06,33508609.340026725,-10011241.644911125,-29959597.12053061
WROC,GNSS,2025-03-31 12:32:00,C06,33547352.9815569,-9979436.513114825,-29918513.996483397
WROC,GNSS,2025-03-31 12:32:30,C06,33586096.62308707,-9947631.381318524,-29877430.87243618
WROC,GNSS,2025-03-31 12:33:00,C06,33624840.26461724,-9915826.249522222,-29836347.748388965
WROC,GNSS,2025-03-31 12:33:30,C06,33663583.90614742,-9884021.117725926,-29795264.62434175
WROC,GNSS,2025-03-31 12:34:00,C06,33702327.54767759,-9852215.985929623,-29754181.500294533
WROC,GNSS,2025-03-31 12:34:30,C06,33741071.18920777,-9820410.854133323,-29713098.376247317
WROC,GNSS,2025-03-31 12:35:00,C06,33779814.83073795,-9788605.722337028,-29672015.252200104
WROC,GNSS,2025-03-31 12:35:30,C06,33818479.82308679,-9757389.866568184,-29628966.18367342
WROC,GNSS,2025-03-31 12:36:00,C06,33857144.81543564,-9726174.010799333,-29585917.11514673
