Constellation,Epoch,Satellite_ID,X,Y,Z,vX,vY,vZ
CENTISPACE,2025-03-31 12:00:00,90001,7578.90321503695,-1222.2903885985638,-3.815870280091768,1.0658811200706553,6.620317953760834,3.7682406147363032
CENTISPACE,2025-03-31 12:00:00,90002,6473.575647429936,3218.174130014878,2574.1959362060343,-4.063940760285923,5.856533044870115,2.887822377425393
CENTISPACE,2025-03-31 12:00:00,90003,2336.895904553897,6150.6072395536585,3946.153130401058,-7.2914241115789515,2.349348719056327,0.6544653100988879
CENTISPACE,2025-03-31 12:00:00,90004,-2894.235900367734,6201.571432362755,3469.4292047531344,-7.104719934142092,-2.2579194251017123,-1.8853495142990877
CENTISPACE,2025-03-31 12:00:00,90005,-6770.406446649159,3347.2731278384363,1367.2865273021537,-3.5910164651868337,-5.807560471722457,-3.542110184394234
CENTISPACE,2025-03-31 12:00:00,90006,-7477.018451880706,-1074.897851691582,-1375.463087081387,1.6020912761591202,-6.636193186738618,-3.53947353962292
CENTISPACE,2025-03-31 12:00:00,90007,-4686.207832871569,-4994.210502190467,-3474.791000189338,6.040268006862712,-4.360432331637033,-1.881599527605088
CENTISPACE,2025-03-31 12:00:00,90008,294.0917128418487,-6579.5274226260335,-3950.263572921524,7.6537122305546195,-0.049874770079939554,0.6536417939897711
CENTISPACE,2025-03-31 12:00:00,90009,5137.178146330018,-5091.071021595268,-2580.2645248680587,5.692406178975562,4.285250137212703,2.8843626339115813
CENTISPACE,2025-03-31 12:00:00,90010,1982.009250308198,-6555.480281775634,-3474.791000189338,6.7963791741120385,3.0508093737909903,-1.881599527605088
CENTISPACE,2025-03-31 12:00:00,90011,5845.083749311422,-3035.0728169494982,-3950.263572921524,3.8700489331744476,6.603371839875993,0.6536417939897711
CENTISPACE,2025-03-31 12:00:00,90012,6977.585910337308,1903.3912676904158,-2580.2645248680587,-0.8649323909091744,7.072393428258698,2.8843626339115818
CENTISPACE,2025-03-31 12:00:00,90013,4847.986134846386,5952.377522746273,-3.815870280091977,-5.200422969051765,4.2332391042758175,3.7682406147363032
CENTISPACE,2025-03-31 12:00:00,90014,449.767273320199,7215.3680290020575,2574.1959362060334,-7.103876775103511,-0.591209415447596,2.887822377425393
CENTISPACE,2025-03-31 12:00:00,90015,-4158.134165877,5099.114839120319,3946.153130401058,-5.680307728840686,-5.13988415086559,0.6544653100988879
CENTISPACE,2025-03-31 12:00:00,90016,-6817.83635399386,594.3039019179919,3469.4292047531344,-1.596944385234608,-7.281827662291612,-1.8853495142990877
CENTISPACE,2025-03-31 12:00:00,90017,-6284.026785437662,-4189.707412824887,1367.2865273021537,3.2339866699325692,-6.013691720121225,-3.542110184394234
CENTISPACE,2025-03-31 12:00:00,90018,-2807.6203799021278,-7012.736849739478,-1375.463087081385,6.54815752221641,-1.930644849034083,-3.53947353962292
CENTISPACE,2025-03-31 12:00:00,90019,-3923.6004536261244,-5607.267530444763,3469.429204753134,5.507775548907485,-5.0239082371898975,-1.8853495142990893
CENTISPACE,2025-03-31 12:00:00,90020,486.37966121149304,-7536.980540663322,1367.2865273021537,6.825003135119403,-0.2061312483987693,-3.542110184394234
CENTISPACE,2025-03-31 12:00:00,90021,4669.398071978582,-5937.838998047895,-1375.4630870813885,4.946066246057291,4.705548337704539,-3.539473539622919
CENTISPACE,2025-03-31 12:00:00,90022,6668.217083179767,-1561.269779585163,-3474.79100018934,0.7561111672493249,7.411241705428025,-1.8815995276050848
CENTISPACE,2025-03-31 12:00:00,90023,5550.992036469573,3544.45460567654,-3950.263572921522,-3.783663297380176,6.65324660995593,0.6536417939897743
CENTISPACE,2025-03-31 12:00:00,90024,1840.4077640072899,6994.462289285682,-2580.2645248680587,-6.557338569884735,2.7871432910459952,2.8843626339115818
CENTISPACE,2025-03-31 12:00:00,90025,-2730.9170801905625,7174.66791134484,-3.815870280092867,-6.266304089122424,-2.387078849485014,3.7682406147363032
CENTISPACE,2025-03-31 12:00:00,90026,-6023.808374109736,3997.193898987182,2574.1959362060334,-3.039936014817592,-6.447742460317712,2.887822377425393
CENTISPACE,2025-03-31 12:00:00,90027,-6495.0300704308975,-1051.4924004333361,3946.153130401058,1.6111163827382617,-7.489232869921918,0.6544653100988879
CENTISPACE,2025-03-31 12:00:00,90028,-7578.903215036949,1222.290388598567,-3.815870280092867,-1.0658811200706584,-6.620317953760833,3.7682406147363032
CENTISPACE,2025-03-31 12:00:00,90029,-6473.575647429935,-3218.174130014876,2574.1959362060334,4.06394076028592,-5.856533044870115,2.887822377425393
CENTISPACE,2025-03-31 12:00:00,90030,-2336.895904553903,-6150.607239553658,3946.153130401058,7.29142411157895,-2.3493487190563336,0.6544653100988895
CENTISPACE,2025-03-31 12:00:00,90031,2894.235900367726,-6201.571432362755,3469.4292047531367,7.1047199341420955,2.2579194251017056,-1.8853495142990848
CENTISPACE,2025-03-31 12:00:00,90032,6770.406446649157,-3347.273127838438,1367.2865273021537,3.591016465186835,5.807560471722456,-3.542110184394234
CENTISPACE,2025-03-31 12:00:00,90033,7477.018451880707,1074.8978516915838,-1375.4630870813885,-1.6020912761591228,6.636193186738617,-3.539473539622919
CENTISPACE,2025-03-31 12:00:00,90034,4686.207832871569,4994.210502190466,-3474.7910001893383,-6.040268006862712,4.360432331637034,-1.8815995276050863
CENTISPACE,2025-03-31 12:00:00,90035,-294.09171284185203,6579.527422626035,-3950.263572921522,-7.6537122305546195,0.04987477007993731,0.6536417939897743
CENTISPACE,2025-03-31 12:00:00,90036,-5137.178146330015,5091.071021595271,-2580.26452486806,-5.692406178975565,-4.285250137212701,2.8843626339115804
CENTISPACE,2025-03-31 12:00:00,90037,-1982.0092503082058,6555.480281775631,-3474.79100018934,-6.796379174112038,-3.050809373790997,-1.8815995276050848
CENTISPACE,2025-03-31 12:00:00,90038,-5845.08374931142,3035.0728169495032,-3950.263572921524,-3.8700489331744516,-6.603371839875989,0.6536417939897693
CENTISPACE,2025-03-31 12:00:00,90039,-6977.585910337308,-1903.3912676904135,-2580.2645248680587,0.8649323909091715,-7.072393428258697,2.8843626339115818
CENTISPACE,2025-03-31 12:00:00,90040,-4847.986134846386,-5952.377522746272,-3.815870280092867,5.200422969051764,-4.2332391042758175,3.7682406147363032
CENTISPACE,2025-03-31 12:00:00,90041,-449.7672733201995,-7215.3680290020575,2574.1959362060334,7.103876775103511,0.5912094154475951,2.887822377425393
CENTISPACE,2025-03-31 12:00:00,90042,4158.134165876998,-5099.11483912032,3946.153130401058,5.680307728840687,5.139884150865589,0.6544653100988879
CENTISPACE,2025-03-31 12:00:00,90043,6817.83635399386,-594.3039019179877,3469.429204753134,1.596944385234604,7.2818276622916125,-1.8853495142990893
CENTISPACE,2025-03-31 12:00:00,90044,6284.026785437659,4189.7074128248905,1367.2865273021505,-3.233986669932574,6.013691720121221,-3.542110184394235
CENTISPACE,2025-03-31 12:00:00,90045,2807.6203799021328,7012.736849739476,-1375.463087081385,-6.548157522216409,1.9306448490340866,-3.53947353962292
CENTISPACE,2025-03-31 12:00:00,90046,3923.60045362612,5607.2675304447675,3469.429204753134,-5.50777554890749,5.023908237189894,-1.8853495142990893
CENTISPACE,2025-03-31 12:00:00,90047,-486.379661211502,7536.980540663323,1367.286527302152,-6.825003135119403,0.20613124839876046,-3.542110184394235
CENTISPACE,2025-03-31 12:00:00,90048,-4669.398071978581,5937.838998047897,-1375.463087081387,-4.946066246057293,-4.7055483377045375,-3.53947353962292
CENTISPACE,2025-03-31 12:00:00,90049,-6668.217083179771,1561.269779585156,-3474.79100018934,-0.7561111672493164,-7.411241705428025,-1.8815995276050848
CENTISPACE,2025-03-31 12:00:00,90050,-5550.992036469568,-3544.4546056765457,-3950.263572921522,3.783663297380183,-6.653246609955927,0.653641793989776
CENTISPACE,2025-03-31 12:00:00,90051,-1840.4077640072842,-6994.462289285685,-2580.2645248680587,6.5573385698847355,-2.78714329104599,2.8843626339115818
CENTISPACE,2025-03-31 12:00:00,90052,2730.917080190567,-7174.667911344837,-3.815870280092867,6.266304089122422,2.387078849485019,3.7682406147363032
CENTISPACE,2025-03-31 12:00:00,90053,6023.80837410974,-3997.1938989871774,2574.1959362060334,3.0399360148175862,6.447742460317714,2.887822377425393
CENTISPACE,2025-03-31 12:00:00,90054,6495.0300704308975,1051.4924004333411,3946.153130401058,-1.6111163827382677,7.489232869921917,0.6544653100988879
CENTISPACE,2025-03-31 12:00:30,90001,7623.555355654998,-873.1626091150304,222.1653441527315,0.6513756150551354,6.677325464271728,3.762448228627269
CENTISPACE,2025-03-31 12:00:30,90002,6241.3809049732845,3522.3162183461322,2743.2768854366363,-4.41121119779484,5.669851420488698,2.7466989152819195
CENTISPACE,2025-03-31 12:00:30,90003,1936.5421466271785,6267.287785903958,3979.120864512429,-7.408648564616675,2.0064805005201123,0.4441660286735767
CENTISPACE,2025-03-31 12:00:30,90004,-3275.295149399662,6076.156743354185,3350.846648267679,-6.937035968263534,-2.5964109252010483,-2.066345071495953
CENTISPACE,2025-03-31 12:00:30,90005,-6953.736163086189,3038.514883822867,1152.6962523411803,-3.21693852940905,-5.983062690046897,-3.608981310510503
CENTISPACE,2025-03-31 12:00:30,90006,-7376.91434842698,-1422.3231536751039,-1585.5331028410694,2.0070182800344663,-6.566598258467073,-3.46098509667159
CENTISPACE,2025-03-31 12:00:30,90007,-4349.826327729329,-5217.7935786321905,-3582.112545295393,6.286669390773679,-4.078913911457321,-1.694830060782081
CENTISPACE,2025-03-31 12:00:30,90008,709.4527694466112,-6574.956944109023,-3904.798480269661,7.627095040674823,0.31197570538657615,0.861457310771862
CENTISPACE,2025-03-31 12:00:30,90009,5437.517364388407,-4860.394305886532,-2403.1951274886533,5.404932278579567,4.558815063531285,3.0163710203436045
CENTISPACE,2025-03-31 12:00:30,90010,2343.8286269341297,-6375.956891180072,-3582.112545295393,6.6757777625586305,3.4049584418753853,-1.694830060782081
CENTISPACE,2025-03-31 12:00:30,90011,6048.806127110621,-2673.074350928524,-3904.798480269661,3.543368634109069,6.76124591499599,0.861457310771862
CENTISPACE,2025-03-31 12:00:30,90012,6927.9836235011735,2278.8310181361053,-2403.1951274886496,-1.2455835168834861,6.960216190750057,3.016371020343608
CENTISPACE,2025-03-31 12:00:30,90013,4567.958678955819,6165.611300596624,222.16534415273128,-5.45704567386847,3.9027705621793256,3.762448228627269
CENTISPACE,2025-03-31 12:00:30,90014,70.27512723695905,7166.35252757504,2743.2768854366354,-7.115840964723917,-0.985295248504361,2.7466989152819203
CENTISPACE,2025-03-31 12:00:30,90015,-4459.359362107164,4810.738587430365,3979.120864512429,-5.441987367956872,-5.4128376144091,0.4441660286735775
CENTISPACE,2025-03-31 12:00:30,90016,-6899.753671820677,201.58956740504144,3350.8466482676795,-1.219960164244206,-7.305854838083125,-2.066345071495951
CENTISPACE,2025-03-31 12:00:30,90017,-6108.29916071082,-4502.854726535732,1152.696252341182,3.5730150173109445,-5.77748183390464,-3.608981310510502
CENTISPACE,2025-03-31 12:00:30,90018,-2456.6891907400563,-7099.756804117245,-1585.5331028410676,6.690350048296372,-1.545170312863943,-3.4609850966715907
CENTISPACE,2025-03-31 12:00:30,90019,-3624.4585224210223,-5874.567175949145,3350.8466482676795,5.717075804019329,-4.709443912882081,-2.066345071495951
CENTISPACE,2025-03-31 12:00:30,90020,845.4370023753677,-7541.3696103586035,1152.6962523411787,6.789953546719998,0.20558085614225755,-3.608981310510504
CENTISPACE,2025-03-31 12:00:30,90021,4920.225157686923,-5677.433650442148,-1585.5331028410676,4.68333176826191,5.021427945603129,-3.4609850966715907
