Reference,Constellation,Epoch,Satellite_ID,E,N,U
WROC,CENTISPACE,2025-03-31 12:00:30,90001,-3071536.8235668326,-5313118.572445433,-1777974.0041878035
WROC,CENTISPACE,2025-03-31 12:00:30,90002,1536026.1833693325,-3705750.2133631073,164543.39179760087
WROC,CENTISPACE,2025-03-31 12:00:30,90003,5423254.694111132,-353459.1457470629,-951438.2773777387
WROC,CENTISPACE,2025-03-31 12:00:30,90004,6769725.09350194,3174055.4179618065,-4603583.678763979
WROC,CENTISPACE,2025-03-31 12:00:30,90005,4945057.214008013,5225081.903038631,-9081746.137643337
WROC,CENTISPACE,2025-03-31 12:00:30,90006,804714.6306863258,4839754.26743089,-12288791.768888537
WROC,CENTISPACE,2025-03-31 12:00:30,90007,-3711876.8448485453,2200616.4796536565,-12725300.969316654
WROC,CENTISPACE,2025-03-31 12:00:30,90008,-6493735.917245585,-1456765.0019864696,-10190119.63548229
WROC,CENTISPACE,2025-03-31 12:00:30,90009,-6241882.272875706,-4423957.058566231,-5867912.615382334
WROC,CENTISPACE,2025-03-31 12:00:30,90010,-6783031.5714803,-2515824.463664388,-8921414.485218689
WROC,CENTISPACE,2025-03-31 12:00:30,90011,-4330187.816526354,-6321066.3412802415,-6266981.332365519
WROC,CENTISPACE,2025-03-31 12:00:30,90012,145815.69430571896,-7163546.282577554,-3658389.2594371983
WROC,CENTISPACE,2025-03-31 12:00:30,90013,4553977.318386616,-4646905.703458201,-2315285.5402228204
WROC,CENTISPACE,2025-03-31 12:00:30,90014,6830325.194360086,54111.29459575624,-2867846.18841483
WROC,CENTISPACE,2025-03-31 12:00:30,90015,5907413.658725111,4738574.630491312,-5058246.502220455
WROC,CENTISPACE,2025-03-31 12:00:30,90016,2217152.8512680936,7212783.285788411,-7860883.522863701
WROC,CENTISPACE,2025-03-31 12:00:30,90017,-2512455.982381375,6318299.6418193495,-9963444.06001753
WROC,CENTISPACE,2025-03-31 12:00:30,90018,-6066470.021624536,2475106.8045780067,-10381665.053701743
WROC,CENTISPACE,2025-03-31 12:00:30,90019,-4552572.242233846,6163239.335673334,-7014409.222795206
WROC,CENTISPACE,2025-03-31 12:00:30,90020,-7457513.196389392,1837767.8474483253,-6349822.149130426
WROC,CENTISPACE,2025-03-31 12:00:30,90021,-6871184.652310868,-3339111.080326975,-5692403.575865545
WROC,CENTISPACE,2025-03-31 12:00:30,90022,-3071154.7266317615,-6944323.11041647,-5349758.155864657
WROC,CENTISPACE,2025-03-31 12:00:30,90023,2163548.1007192275,-7294760.237374886,-5481681.336984375
WROC,CENTISPACE,2025-03-31 12:00:30,90024,6387697.967181426,-4227367.1265192395,-6026465.599382424
WROC,CENTISPACE,2025-03-31 12:00:30,90025,7625514.141953451,826591.5309687761,-6729750.260762074
WROC,CENTISPACE,2025-03-31 12:00:30,90026,5294299.010990756,5502951.032490799,-7262424.236160605
WROC,CENTISPACE,2025-03-31 12:00:30,90027,484158.9646139833,7610965.090421805,-7374876.219181326
WROC,CENTISPACE,2025-03-31 12:00:30,90028,3071536.8235668363,5633875.896408527,-10606903.445266314
WROC,CENTISPACE,2025-03-31 12:00:30,90029,-1536026.1833693313,7191929.262426976,-8624612.70369395
WROC,CENTISPACE,2025-03-31 12:00:30,90030,-5423254.694111131,5391321.774113926,-5584697.711299483
